,num_topics,scenario_r2,scenario_aic,scenario_bic,4,5,6
251,3,0.0035062947041808457,690634.2054024251,690675.5622707783,137,194,007
252,3,0.032833109065366184,683809.0169817747,683850.3738501279,162,022,017
253,3,0.02502000881246358,685647.3642580648,685688.721126418,143,125,101
254,3,0.005527917762778056,690170.2027933025,690211.5596616557,111,182,153
255,3,0.023529954479072357,685996.2864892429,686037.6433575961,003,146,128
256,3,0.012482574932189072,688566.7357215805,688608.0925899337,078,103,055
257,3,0.012881587837609954,688474.3970075843,688515.7538759375,127,149,136
258,3,0.004398858782977189,690429.4604000278,690470.817268381,013,198,197
259,3,0.01654468235408757,687624.9430888781,687666.2999572313,055,121,181
260,3,0.01058427403092932,689005.5260953463,689046.8829636995,057,083,076
261,3,0.027482388694146764,685069.5846073015,685110.9414756547,117,095,156
262,3,0.0065837662141228215,689927.4895156501,689968.8463840033,103,096,184
263,3,0.04449324772512475,681037.6926514441,681079.0495197973,084,173,073
264,3,0.017947597970915385,687298.775534199,687340.1324025522,101,027,068
265,3,0.023498223410147734,686003.7110815896,686045.0679499428,182,162,133
266,3,0.005421128251724361,690194.736692576,690236.0935609292,046,111,027
267,3,0.0025413073508362416,690855.3573445627,690896.7142129159,128,167,125
268,3,0.005277373520312767,690227.7588487281,690269.1157170814,174,130,175
269,3,0.00776760996322956,689655.0463450601,689696.4032134133,143,081,179
270,3,0.009106812740791503,689346.4576018746,689387.8144702278,190,060,008
271,3,0.016401387830574765,687658.231817954,687699.5886863072,192,144,073
272,3,0.027638946059831415,685032.8001052138,685074.156973567,095,142,197
273,3,0.043934736260011986,681171.2061969924,681212.5630653456,137,046,155
274,3,0.016448911623932916,687647.1921102214,687688.5489785746,187,120,055
275,3,0.0034708255453440584,690642.3378728565,690683.6947412097,125,130,169
276,3,0.01506524364730566,687968.3980393547,688009.7549077079,129,041,158
277,3,0.032164639201566536,683966.88140372,684008.2382720732,123,080,062
278,3,0.002376286367329672,690893.1547702146,690934.5116385678,132,052,184
279,3,0.010802756421774196,688955.0669979092,688996.4238662624,132,075,116
280,3,0.037638659745851455,682670.9264490033,682712.2833173565,123,101,081
281,3,0.017009545119617386,687516.917489882,687558.2743582352,079,008,159
282,3,0.02309118552193934,686098.930427264,686140.2872956172,001,183,044
283,3,0.005505241392409821,690175.4126992945,690216.7695676477,102,047,003
284,3,0.020364704749913476,686735.7214981887,686777.0783665419,102,029,082
285,3,0.009027886187655376,689364.6559886571,689406.0128570104,058,038,129
286,3,0.00475794907661109,690347.0370039772,690388.3938723304,047,085,032
287,3,0.016951161545354698,687530.4875688194,687571.8444371726,050,175,062
288,3,0.013722739851457444,688279.6170656641,688320.9739340174,054,168,050
289,3,0.00040748819110381085,691343.6188248096,691384.9756931628,068,013,156
290,3,0.025300368474133195,685581.6535471638,685623.010415517,049,123,057
291,3,0.010589619464203781,689004.2916860904,689045.6485544436,161,141,177
292,3,0.010656436163338445,688988.8612886751,689030.2181570283,045,102,076
293,3,0.0010608236841902485,691194.2330936033,691235.5899619565,026,118,043
294,3,0.023124410461786926,686091.1595248899,686132.5163932431,152,174,095
295,3,0.00813925869497556,689569.4501431206,689610.8070114738,003,047,143
296,3,0.007377865682989704,689744.7757861188,689786.132654472,160,021,131
297,3,0.006961731906772961,689840.5419049051,689881.8987732583,160,199,092
298,3,0.037749809930661016,682644.5357438622,682685.8926122154,035,093,158
299,3,0.024191544965187495,685841.4292956792,685882.7861640324,024,044,085
300,3,0.021273243550862797,686523.7222046261,686565.0790729793,156,033,092
301,3,0.025801019743451503,685464.2638525001,685505.6207208533,079,150,125
302,3,0.0037661689821831823,690574.6118514601,690615.9687198133,194,000,035
303,3,0.006484327775962417,689950.358938217,689991.7158065703,165,106,021
304,3,0.03459567489824,683392.2494779322,683433.6063462854,190,095,079
305,3,0.01141465114390039,688813.6889245141,688855.0457928673,017,160,182
306,3,0.051924593903026395,679253.7455945464,679295.1024628996,093,131,101
307,3,0.002858626218524396,690782.6590942438,690824.015962597,122,171,002
308,3,0.008263952920348094,689540.7240321487,689582.0809005019,055,000,165
309,3,0.006101837291573875,690038.3049642409,690079.6618325941,170,072,191
310,3,0.017946207608017906,687299.0990139444,687340.4558822976,153,191,150
311,3,0.014898640076998149,688007.0431010679,688048.3999694211,034,004,072
312,3,0.0034733594269734658,690641.7569068123,690683.1137751655,046,168,156
313,3,0.015574714762487063,687850.1814726037,687891.5383409569,163,151,118
314,3,0.01696468067089152,687527.3453937016,687568.7022620548,009,152,067
315,3,0.03288754575263597,683796.156525345,683837.5133936983,166,033,137
